Sno,Date,State/UnionTerritory,total_confirmed,Cured,Deaths
177,16/03/20,Uttarakhand,1,0,0
192,17/03/20,Uttarakhand,1,0,0
208,18/03/20,Uttarakhand,1,0,0
227,19/03/20,Uttarakhand,1,0,0
247,20/03/20,Uttarakhand,3,0,0
269,21/03/20,Uttarakhand,3,0,0
292,22/03/20,Uttarakhand,3,0,0
22,23/03/20,Uttarakhand,3,0,0
23,24/03/20,Uttarakhand,4,0,0
24,25/03/20,Uttarakhand,4,0,0
25,26/03/20,Uttarakhand,5,0,0
25,27/03/20,Uttarakhand,5,0,0
25,28/03/20,Uttarakhand,5,0,0
25,29/03/20,Uttarakhand,7,2,0
209,18/03/20,West Bengal,1,0,0
228,19/03/20,West Bengal,1,0,0
248,20/03/20,West Bengal,2,0,0
270,21/03/20,West Bengal,3,0,0
293,22/03/20,West Bengal,4,0,0
23,23/03/20,West Bengal,7,0,1
24,24/03/20,West Bengal,9,0,1
25,25/03/20,West Bengal,9,0,1
27,26/03/20,West Bengal,10,0,1
27,27/03/20,West Bengal,10,0,1
27,28/03/20,West Bengal,15,0,1
27,29/03/20,West Bengal,18,0,1
1,30/03/20,Andhra Pradesh,19,1,0
2,30/03/20,Andaman and Nicobar Islands,9,0,0
3,30/03/20,Bihar,11,0,1
4,30/03/20,Chandigarh,8,0,0
5,30/03/20,Chhattisgarh,7,0,0
6,30/03/20,Delhi,53,6,2
7,30/03/20,Goa,5,0,0
8,30/03/20,Gujarat,58,1,5
9,30/03/20,Haryana,33,17,0
10,30/03/20,Himachal Pradesh,3,0,1
11,30/03/20,Jammu and Kashmir,31,1,2
12,30/03/20,Karnataka,80,5,3
13,30/03/20,Kerala,194,19,1
14,30/03/20,Ladakh,13,3,0
15,30/03/20,Madhya Pradesh,33,0,2
16,30/03/20,Maharashtra,193,25,8
17,30/03/20,Manipur,1,0,0
18,30/03/20,Mizoram,1,0,0
19,30/03/20,Odisha,3,0,0
20,30/03/20,Puducherry,1,0,0
21,30/03/20,Punjab,38,1,1
22,30/03/20,Rajasthan,57,3,0
23,30/03/20,Tamil Nadu,50,4,1
24,30/03/20,Telengana,69,1,1
25,30/03/20,Uttarakhand,7,2,0
26,30/03/20,Uttar Pradesh,75,11,0
27,30/03/20,West Bengal,19,0,1
502,31/03/20,Andhra Pradesh,40,1,0
503,31/03/20,Andaman and Nicobar Islands,10,0,0
504,31/03/20,Bihar,15,0,1
505,31/03/20,Chandigarh,13,0,0
506,31/03/20,Chhattisgarh,8,0,0
507,31/03/20,Delhi,97,6,2
508,31/03/20,Goa,5,0,0
509,31/03/20,Gujarat,73,3,6
510,31/03/20,Haryana,40,21,0
511,31/03/20,Himachal Pradesh,3,0,1
512,31/03/20,Jammu and Kashmir,54,2,2
513,31/03/20,Karnataka,83,5,3
514,31/03/20,Kerala,234,19,1
515,31/03/20,Ladakh,13,3,0
516,31/03/20,Madhya Pradesh,47,0,3
517,31/03/20,Maharashtra,216,39,9
518,31/03/20,Manipur,1,0,0
519,31/03/20,Mizoram,1,0,0
520,31/03/20,Odisha,3,0,0
521,31/03/20,Puducherry,1,0,0
522,31/03/20,Punjab,41,1,3
523,31/03/20,Rajasthan,74,3,0
524,31/03/20,Tamil Nadu,74,4,1
525,31/03/20,Telengana,79,1,1
526,31/03/20,Uttarakhand,7,2,0
527,31/03/20,Uttar Pradesh,101,14,0
528,31/03/20,West Bengal,26,0,2
530,01/04/20,Andhra Pradesh,83,1,0
531,01/04/20,Andaman and Nicobar Islands,10,0,0
532,01/04/20,Bihar,23,0,1
533,01/04/20,Chandigarh,13,0,0
534,01/04/20,Chhattisgarh,9,0,0
535,01/04/20,Delhi,120,6,2
536,01/04/20,Goa,5,0,0
537,01/04/20,Gujarat,74,5,6
538,01/04/20,Haryana,43,21,0
539,01/04/20,Himachal Pradesh,3,0,1
540,01/04/20,Jammu and Kashmir,55,2,2
541,01/04/20,Karnataka,101,8,3
542,01/04/20,Kerala,241,23,2
543,01/04/20,Ladakh,13,3,0
544,01/04/20,Madhya Pradesh,47,0,3
545,01/04/20,Maharashtra,302,39,9
546,01/04/20,Manipur,1,0,0
547,01/04/20,Mizoram,1,0,0
548,01/04/20,Odisha,4,0,0
549,01/04/20,Puducherry,1,0,0
550,01/04/20,Punjab,41,1,3
551,01/04/20,Rajasthan,93,3,0
552,01/04/20,Tamil Nadu,124,4,1
553,01/04/20,Telengana,94,1,3
554,01/04/20,Uttarakhand,7,2,0
555,01/04/20,Uttar Pradesh,103,14,0
556,01/04/20,West Bengal,26,0,2
1,02/04/20,Andhra Pradesh,86,1,1
2,02/04/20,Andaman and Nicobar Islands,10,0,0
3,02/04/20,Assam,5,0,0
4,02/04/20,Bihar,24,0,1
5,02/04/20,Chandigarh,16,0,0
6,02/04/20,Chhattisgarh,9,2,0
7,02/04/20,Delhi,219,8,4
8,02/04/20,Goa,5,0,0
9,02/04/20,Gujarat,87,8,7
10,02/04/20,Haryana,43,21,0
11,02/04/20,Himachal Pradesh,3,1,1
12,02/04/20,Jammu and Kashmir,62,2,2
13,02/04/20,Jharkhand,1,0,0
14,02/04/20,Karnataka,110,9,3
15,02/04/20,Kerala,265,25,2
16,02/04/20,Ladakh,13,3,0
17,02/04/20,Madhya Pradesh,99,0,6
18,02/04/20,Maharashtra,335,42,13
19,02/04/20,Manipur,1,0,0
20,02/04/20,Mizoram,1,0,0
21,02/04/20,Odisha,4,0,0
22,02/04/20,Puducherry,3,1,0
23,02/04/20,Punjab,46,1,4
24,02/04/20,Rajasthan,108,3,0
25,02/04/20,Tamil Nadu,234,6,1
26,02/04/20,Telengana,107,1,3
27,02/04/20,Uttarakhand,7,2,0
28,02/04/20,Uttar Pradesh,113,14,2
29,02/04/20,West Bengal,53,6,3
1,03/04/20,Andhra Pradesh,132,1,1
2,03/04/20,Andaman and Nicobar Islands,10,0,0
3,03/04/20,Arunachal Pradesh,1,0,0
4,03/04/20,Assam,16,0,0
5,03/04/20,Bihar,29,0,1
6,03/04/20,Chandigarh,18,0,0
7,03/04/20,Chhattisgarh,9,3,0
8,03/04/20,Delhi,219,8,4
9,03/04/20,Goa,6,0,0
10,03/04/20,Gujarat,95,10,8
11,03/04/20,Haryana,49,24,0
12,03/04/20,Himachal Pradesh,6,1,1
13,03/04/20,Jammu and Kashmir,75,3,2
14,03/04/20,Jharkhand,2,0,0
15,03/04/20,Karnataka,124,10,3
16,03/04/20,Kerala,286,27,2
17,03/04/20,Ladakh,14,3,0
18,03/04/20,Madhya Pradesh,104,0,6
19,03/04/20,Maharashtra,335,42,16
20,03/04/20,Manipur,2,0,0
21,03/04/20,Mizoram,1,0,0
22,03/04/20,Odisha,5,0,0
23,03/04/20,Puducherry,5,1,0
24,03/04/20,Punjab,48,1,5
25,03/04/20,Rajasthan,167,3,0
26,03/04/20,Tamil Nadu,309,6,1
27,03/04/20,Telengana,158,1,7
28,03/04/20,Uttarakhand,10,2,0
28,03/04/20,Uttar Pradesh,172,14,2
29,03/04/20,West Bengal,63,3,3
1,04/04/20,Andhra Pradesh,161,1,1
2,04/04/20,Andaman and Nicobar Islands,10,0,0
3,04/04/20,Arunachal Pradesh,1,0,0
4,04/04/20,Assam,24,0,0
5,04/04/20,Bihar,30,0,1
6,04/04/20,Chandigarh,18,0,0
7,04/04/20,Chhattisgarh,9,3,0
8,04/04/20,Delhi,445,15,6
9,04/04/20,Goa,7,0,0
10,04/04/20,Gujarat,105,14,10
11,04/04/20,Haryana,49,24,0
12,04/04/20,Himachal Pradesh,6,1,1
13,04/04/20,Jammu and Kashmir,75,3,2
14,04/04/20,Jharkhand,2,0,0
15,04/04/20,Karnataka,128,12,3
16,04/04/20,Kerala,295,41,2
17,04/04/20,Ladakh,14,3,0
18,04/04/20,Madhya Pradesh,104,0,6
19,04/04/20,Maharashtra,490,42,24
20,04/04/20,Manipur,2,0,0
21,04/04/20,Mizoram,1,0,0
22,04/04/20,Odisha,5,0,0
23,04/04/20,Puducherry,5,1,0
24,04/04/20,Punjab,57,1,5
25,04/04/20,Rajasthan,200,21,0
26,04/04/20,Tamil Nadu,411,6,2
27,04/04/20,Telengana,159,1,7
28,04/04/20,Uttarakhand,16,2,0
28,04/04/20,Uttar Pradesh,174,19,2
29,04/04/20,West Bengal,69,3,3
1,05/04/20,Andhra Pradesh,190,1,1
2,05/04/20,Andaman and Nicobar Islands,10,0,0
3,05/04/20,Arunachal Pradesh,1,0,0
4,05/04/20,Assam,26,0,0
5,05/04/20,Bihar,30,0,1
6,05/04/20,Chandigarh,18,0,0
7,05/04/20,Chhattisgarh,9,3,0
8,05/04/20,Delhi,503,18,7
9,05/04/20,Goa,7,0,0
10,05/04/20,Gujarat,122,18,11
11,05/04/20,Haryana,59,25,1
12,05/04/20,Himachal Pradesh,6,1,1
13,05/04/20,Jammu and Kashmir,106,4,2
14,05/04/20,Jharkhand,3,0,0
15,05/04/20,Karnataka,144,12,4
16,05/04/20,Kerala,306,49,2
17,05/04/20,Ladakh,14,10,0
18,05/04/20,Madhya Pradesh,165,0,9
19,05/04/20,Maharashtra,490,42,24
20,05/04/20,Manipur,2,0,0
21,05/04/20,Mizoram,1,0,0
22,05/04/20,Odisha,20,0,0
23,05/04/20,Puducherry,5,1,0
24,05/04/20,Punjab,57,1,5
25,05/04/20,Rajasthan,200,21,0
26,05/04/20,Tamil Nadu,485,6,3
27,05/04/20,Telengana,269,32,7
28,05/04/20,Uttarakhand,22,2,0
29,05/04/20,Uttar Pradesh,227,19,2
30,05/04/20,West Bengal,80,10,3
1,06/04/20,Andhra Pradesh,226,1,3
2,06/04/20,Andaman and Nicobar Islands,10,0,0
3,06/04/20,Arunachal Pradesh,1,0,0
4,06/04/20,Assam,26,0,0
5,06/04/20,Bihar,32,0,1
6,06/04/20,Chandigarh,18,0,0
7,06/04/20,Chhattisgarh,10,8,0
8,06/04/20,Delhi,523,19,7
9,06/04/20,Goa,7,0,0
10,06/04/20,Gujarat,144,22,12
11,06/04/20,Haryana,84,25,1
12,06/04/20,Himachal Pradesh,13,2,1
13,06/04/20,Jammu and Kashmir,109,4,2
14,06/04/20,Jharkhand,4,0,0
15,06/04/20,Karnataka,151,12,4
16,06/04/20,Kerala,314,55,2
17,06/04/20,Ladakh,14,10,0
18,06/04/20,Madhya Pradesh,165,0,9
19,06/04/20,Maharashtra,748,56,45
20,06/04/20,Manipur,2,0,0
21,06/04/20,Mizoram,1,0,0
22,06/04/20,Odisha,21,2,0
23,06/04/20,Puducherry,5,1,0
24,06/04/20,Punjab,76,4,6
25,06/04/20,Rajasthan,274,21,0
26,06/04/20,Tamil Nadu,571,8,5
27,06/04/20,Telengana,321,34,7
28,06/04/20,Uttarakhand,26,4,0
29,06/04/20,Uttar Pradesh,305,21,3
30,06/04/20,West Bengal,80,10,3
1,07/04/20,Andhra Pradesh,266,1,3
2,07/04/20,Andaman and Nicobar Islands,10,0,0
3,07/04/20,Arunachal Pradesh,1,0,0
4,07/04/20,Assam,26,0,0
5,07/04/20,Bihar,32,0,1
6,07/04/20,Chandigarh,18,7,0
7,07/04/20,Chhattisgarh,10,9,0
8,07/04/20,Delhi,576,21,7
9,07/04/20,Goa,7,0,0
10,07/04/20,Gujarat,165,25,13
11,07/04/20,Haryana,90,25,1
12,07/04/20,Himachal Pradesh,13,2,1
13,07/04/20,Jammu and Kashmir,116,4,2
14,07/04/20,Jharkhand,4,0,0
15,07/04/20,Karnataka,175,25,4
16,07/04/20,Kerala,327,58,2
17,07/04/20,Ladakh,14,10,0
18,07/04/20,Madhya Pradesh,229,0,13
19,07/04/20,Maharashtra,868,56,48
20,07/04/20,Manipur,2,0,0
21,07/04/20,Mizoram,1,0,0
22,07/04/20,Odisha,42,2,1
23,07/04/20,Puducherry,5,1,0
24,07/04/20,Punjab,91,4,7
25,07/04/20,Rajasthan,288,21,3
26,07/04/20,Tamil Nadu,621,8,5
27,07/04/20,Telengana,364,35,7
28,07/04/20,Tripura,1,0,0
29,07/04/20,Uttarakhand,31,5,0
30,07/04/20,Uttar Pradesh,305,21,3
31,07/04/20,West Bengal,91,13,3
1,08/04/20,Andhra Pradesh,305,5,4
2,08/04/20,Andaman and Nicobar Islands,10,0,0
3,08/04/20,Arunachal Pradesh,1,0,0
4,08/04/20,Assam,27,0,0
5,08/04/20,Bihar,38,0,1
6,08/04/20,Chandigarh,18,7,0
7,08/04/20,Chhattisgarh,10,9,0
8,08/04/20,Delhi,576,21,9
9,08/04/20,Goa,7,0,0
10,08/04/20,Gujarat,165,25,13
11,08/04/20,Haryana,147,28,3
12,08/04/20,Himachal Pradesh,18,2,1
13,08/04/20,Jammu and Kashmir,116,4,2
14,08/04/20,Jharkhand,4,0,0
15,08/04/20,Karnataka,175,25,4
16,08/04/20,Kerala,336,70,2
17,08/04/20,Ladakh,14,10,0
18,08/04/20,Madhya Pradesh,229,0,13
19,08/04/20,Maharashtra,1018,79,64
20,08/04/20,Manipur,2,0,0
21,08/04/20,Mizoram,1,0,0
22,08/04/20,Odisha,42,2,1
23,08/04/20,Puducherry,5,1,0
24,08/04/20,Punjab,91,4,7
25,08/04/20,Rajasthan,328,21,3
26,08/04/20,Tamil Nadu,690,19,7
27,08/04/20,Telengana,427,35,7
28,08/04/20,Tripura,1,0,0
29,08/04/20,Uttarakhand,31,5,0
30,08/04/20,Uttar Pradesh,343,26,3
31,08/04/20,West Bengal,99,13,5
1,09/04/20,Andhra Pradesh,348,6,4
2,09/04/20,Andaman and Nicobar Islands,11,0,0
3,09/04/20,Arunachal Pradesh,1,0,0
4,09/04/20,Assam,28,0,0
5,09/04/20,Bihar,39,0,1
6,09/04/20,Chandigarh,18,7,0
7,09/04/20,Chhattisgarh,10,9,0
8,09/04/20,Delhi,669,21,9
9,09/04/20,Goa,7,0,0
10,09/04/20,Gujarat,179,25,16
11,09/04/20,Haryana,169,29,3
12,09/04/20,Himachal Pradesh,18,2,1
13,09/04/20,Jammu and Kashmir,158,4,4
14,09/04/20,Jharkhand,13,0,0
15,09/04/20,Karnataka,181,28,5
16,09/04/20,Kerala,345,83,2
17,09/04/20,Ladakh,14,10,0
18,09/04/20,Madhya Pradesh,259,0,16
19,09/04/20,Maharashtra,1135,117,72
20,09/04/20,Manipur,2,1,0
21,09/04/20,Mizoram,1,0,0
22,09/04/20,Odisha,42,2,1
23,09/04/20,Puducherry,5,1,0
24,09/04/20,Punjab,101,4,8
25,09/04/20,Rajasthan,383,21,3
26,09/04/20,Tamil Nadu,738,21,8
27,09/04/20,Telengana,442,35,7
28,09/04/20,Tripura,1,0,0
29,09/04/20,Uttarakhand,35,5,0
30,09/04/20,Uttar Pradesh,410,31,4
31,09/04/20,West Bengal,103,16,5
802,10/04/20,Andhra Pradesh,363,7,6
803,10/04/20,Andaman and Nicobar Islands,11,0,0
804,10/04/20,Arunachal Pradesh,1,0,0
805,10/04/20,Assam,29,0,0
806,10/04/20,Bihar,60,0,1
807,10/04/20,Chandigarh,18,7,0
808,10/04/20,Chhattisgarh,10,9,0
809,10/04/20,Delhi,898,25,13
810,10/04/20,Goa,7,1,0
811,10/04/20,Gujarat,241,26,17
812,10/04/20,Haryana,169,29,3
813,10/04/20,Himachal Pradesh,28,6,1
814,10/04/20,Jammu and Kashmir,184,6,4
815,10/04/20,Jharkhand,13,0,1
816,10/04/20,Karnataka,197,30,6
817,10/04/20,Kerala,357,96,2
818,10/04/20,Ladakh,15,10,0
819,10/04/20,Madhya Pradesh,259,0,16
820,10/04/20,Maharashtra,1364,125,97
821,10/04/20,Manipur,2,1,0
822,10/04/20,Mizoram,1,0,0
823,10/04/20,Odisha,44,2,1
824,10/04/20,Puducherry,5,1,0
825,10/04/20,Punjab,132,5,11
826,10/04/20,Rajasthan,463,21,3
827,10/04/20,Tamil Nadu,834,21,8
828,10/04/20,Telengana,473,35,7
829,10/04/20,Tripura,1,0,0
830,10/04/20,Uttarakhand,35,5,0
831,10/04/20,Uttar Pradesh,431,32,4
832,10/04/20,West Bengal,116,16,5
833,11/04/20,Andhra Pradesh,381,11,6
834,11/04/20,Andaman and Nicobar Islands,11,0,0
835,11/04/20,Arunachal Pradesh,1,0,0
836,11/04/20,Assam,29,0,1
837,11/04/20,Bihar,60,0,1
838,11/04/20,Chandigarh,18,7,0
839,11/04/20,Chhattisgarh,18,9,0
840,11/04/20,Delhi,903,25,14
841,11/04/20,Goa,7,1,0
842,11/04/20,Gujarat,308,31,19
843,11/04/20,Haryana,177,29,3
844,11/04/20,Himachal Pradesh,28,6,1
845,11/04/20,Jammu and Kashmir,207,6,4
846,11/04/20,Jharkhand,17,0,1
847,11/04/20,Karnataka,214,37,6
848,11/04/20,Kerala,364,123,2
849,11/04/20,Ladakh,15,10,0
850,11/04/20,Madhya Pradesh,443,0,33
851,11/04/20,Maharashtra,1574,188,110
852,11/04/20,Manipur,2,1,0
853,11/04/20,Mizoram,1,0,0
854,11/04/20,Odisha,48,2,1
855,11/04/20,Puducherry,7,1,0
856,11/04/20,Punjab,132,5,11
857,11/04/20,Rajasthan,553,21,3
858,11/04/20,Tamil Nadu,911,44,8
859,11/04/20,Telengana,504,43,9
860,11/04/20,Tripura,2,0,0
861,11/04/20,Uttarakhand,35,5,0
862,11/04/20,Uttar Pradesh,433,32,4
863,11/04/20,West Bengal,126,16,5
1,12/04/20,Andhra Pradesh,381,11,6
2,12/04/20,Andaman and Nicobar Islands,11,10,0
3,12/04/20,Arunachal Pradesh,1,0,0
4,12/04/20,Assam,29,0,1
5,12/04/20,Bihar,64,19,1
6,12/04/20,Chandigarh,19,7,0
7,12/04/20,Chhattisgarh,25,10,0
8,12/04/20,Delhi,1069,25,19
9,12/04/20,Goa,7,5,0
10,12/04/20,Gujarat,432,44,22
11,12/04/20,Haryana,185,29,3
12,12/04/20,Himachal Pradesh,32,6,1
13,12/04/20,Jammu and Kashmir,224,6,4
14,12/04/20,Jharkhand,17,0,1
15,12/04/20,Karnataka,226,37,6
16,12/04/20,Kerala,374,142,2
17,12/04/20,Ladakh,15,10,0
18,12/04/20,Madhya Pradesh,564,0,36
19,12/04/20,Maharashtra,1761,208,127
20,12/04/20,Manipur,2,1,0
21,12/04/20,Mizoram,1,0,0
22,12/04/20,Odisha,54,12,1
23,12/04/20,Puducherry,7,1,0
24,12/04/20,Punjab,151,5,11
25,12/04/20,Rajasthan,700,21,3
26,12/04/20,Tamil Nadu,969,44,10
27,12/04/20,Telengana,504,43,9
28,12/04/20,Tripura,2,0,0
29,12/04/20,Uttarakhand,35,5,0
30,12/04/20,Uttar Pradesh,452,45,5
31,12/04/20,West Bengal,134,19,5