"Timestamp","What is your age?            ","To which gender identity do you most identify?        ","Additional identity not listed?","Please tick the sexual orientation that best represents you:   ","Additional identity not listed?","Where do you reside?                           ","What region do you perform most of your research in?","Please select the racial or ethnic identity that represents you (please select all that apply).","Additional identity not listed?","Please select the religious affiliation that best represents you?            ","Additional identity not listed?","How would you describe your ability/disability status?                    ","Additional ability not listed?","Please describe your level of fluency with written English.                ","Please describe your level of fluency with spoken English.                ","Are you a parent or are you responsible for caring for children?            ","Are you responsible for caring for an adult?                            ","Does access to childcare or funds for care costs change your ability to attend IUSSI conferences?    ","Would you consider yourself part of the first generation in your family to attend college/university to earn a bachelor’s degree?           ","What is your position (please select all that apply)?            ","Which of these conferences have you attended before?","If you have participated before, in what capacity (Select all that applies)?","How would you best describe the institution where you work? (select all that apply)","To what extent do you agree with this statement: There are or have been barriers preventing me from fully participating in the international IUSSI conference.    ","If you agreed with the previous question, are the barriers preventing you from fully participating in IUSSI or its meetings based on any of the following: (Please select all that apply).","Additional barrier"
"2022/05/12 8:51:11 AM EST","50-54 years old","Cisgender man","","Homosexual (gay/lesbian)","","Continental US","Continental US","East Asian","","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2010: Copenhagen, Denmark","Invited speaker","Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Personal or institutional financial resources",""
"2022/05/12 8:51:38 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Europe","Europe","Latinx;A race or ethnicity not listed","Asian","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Attendee;Administrative duties","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 8:52:56 AM EST","30-34 years old","Cisgender man","","Bisexual","","Europe","Europe","White","","Agnostic","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Post Doc","","","Research and teaching institution (M.S);Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Somewhat disagree","",""
"2022/05/12 8:53:31 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Middle East","Middle East","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia","Attendee","Public University or Faculty","Strongly agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 8:53:43 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US;Australasia","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","","","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty;4 yr undergraduate serving institution","I prefer not to answer","",""
"2022/05/12 8:56:18 AM EST","21-24 years olf","Cisgender man","","Heterosexual","","Europe","Europe","East Asian","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Limited working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","Strongly agree","Visa issue;Nationality",""
"2022/05/12 8:58:09 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","I am not religious","","A chronic medical condition;A psychological disorder","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","Attendee","Public University or Faculty","Strongly disagree","",""
"2022/05/12 9:00:12 AM EST","30-34 years old","Cisgender man","","Heterosexual","","Europe","Europe","","Mediterranean European ""white""","Agnostic","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public Institute of Education, Science and Technology;Research and teaching institution (M.S);Public University or Faculty","Neutral","",""
"2022/05/12 9:04:27 AM EST","25-29 years old","Cisgender man","","Heterosexual","","South America","South America","White","","An additional affiliation not listed","Atheist","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","No","No","No","No","Graduate Student (MS or PhD)","IUSSI 2018: Guarujá, Brazil","Attendee;Poster presenter","Public University or Faculty","Somewhat agree","Personal or institutional financial resources",""
"2022/05/12 9:06:10 AM EST","25-29 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","White","","I am not religious","","Prefer not to respond","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Private University or Faculty","Strongly disagree","",""
"2022/05/12 9:06:45 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Middle East","Middle East","White","","Judaism","","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","Yes","No","Yes","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","I prefer not to answer","",""
"2022/05/12 9:07:43 AM EST","45-49 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","atheist","A chronic medical condition","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","Yes","Post Doc","IUSSI 2018: Guarujá, Brazil","Attendee;Other","Public University or Faculty","Somewhat disagree","",""
"2022/05/12 9:09:25 AM EST","30-34 years old","Cisgender man","","Heterosexual","","Europe","Europe","South Asian","","Christianity","","A temporary impairment due to illness or injury","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia","Poster presenter;Other","Public University or Faculty","Strongly agree","Visa issue;Personal or institutional financial resources;Access to travel awards/funding;Geographic location",""
"2022/05/12 9:11:56 AM EST","25-29 years old","Cisgender woman","","Bisexual","","South America","South America","Latinx;White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Limited working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Strongly agree","Visa issue;Personal or institutional financial resources;Access to travel awards/funding;Language;Institution",""
"2022/05/12 9:17:20 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Continental US;South Asia","Continental US;South Asia","South Asian;Brown","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Private University or Faculty","Strongly disagree","",""
"2022/05/12 9:18:30 AM EST","21-24 years olf","Cisgender man","","Questioning/Unsure","","Continental US","Continental US","White","","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Private University or Faculty;Research-intensive institution (M.S. and Ph.D.)","Strongly disagree","",""
"2022/05/12 9:20:44 AM EST","45-49 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","Hispanic","","I am not religious","","","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Tenure track faculty (early - assistant equivalent)","","","Private University or Faculty;4 yr undergraduate serving institution","","",""
"2022/05/12 9:22:18 AM EST","60-64 years old","Non-binary","Male","Heterosexual","","Europe","Europe","White","","Agnostic","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Poster presenter;Invited speaker","Public Institute of Education, Science and Technology;Public University or Faculty","Somewhat agree","Personal or institutional financial resources",""
"2022/05/12 9:26:01 AM EST","25-29 years old","Cisgender man","","Homosexual (gay/lesbian)","","South America","South America","Latinx","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Post Doc","","","Public Institute of Education, Science and Technology","Somewhat agree","Access to travel awards/funding",""
"2022/05/12 9:27:10 AM EST","25-29 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat disagree","",""
"2022/05/12 9:27:22 AM EST","25-29 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Poster presenter","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Geographic location;Another issue (please specify below)","Teaching duties (part of a Bachelor jury early July)"
"2022/05/12 9:30:31 AM EST","25-29 years old","Cisgender man","","Pansexual","","Canada","Canada","White","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 9:30:36 AM EST","50-54 years old","Cisgender man","","Heterosexual","","Canada","Canada","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter;Invited speaker;Administrative duties","Public University or Faculty","Somewhat disagree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 9:32:13 AM EST","30-34 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Post Doc","","","Public University or Faculty","Strongly disagree","",""
"2022/05/12 9:34:44 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Tenure track faculty (early - assistant equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark","Attendee;Invited speaker","Public University or Faculty","Neutral","Age",""
"2022/05/12 9:36:23 AM EST","35-39 years old","Cisgender woman","","Questioning/Unsure","","Europe","Europe","East Asian;White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Tenure track faculty (early - assistant equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark","Attendee;Invited speaker","Research Institute (INPA, Butantã Institute, Humboldt, Insibio, Inecol, NSF, NIH, HHMI etc)","Somewhat disagree","Personal or institutional financial resources",""
"2022/05/12 9:36:30 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Europe","Europe","Latinx","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat agree","Access to travel awards/funding",""
"2022/05/12 9:36:40 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Geographic location",""
"2022/05/12 9:37:43 AM EST","55-59 years old","Prefer not to respond","","Prefer not to respond","","","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter;Invited speaker","Public University or Faculty","Somewhat agree","Personal or institutional financial resources",""
"2022/05/12 9:44:35 AM EST","65-69 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","White","","Agnostic","","A chronic medical condition","","Professional working proficiency","Professional working proficiency","Yes","No","No","Yes","Tenure track faculty (late - tenured equivalent)","","","Research and teaching institution (M.S)","Somewhat agree","Access to travel awards/funding",""
"2022/05/12 9:46:07 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Post Doc","","","Public Institute of Education, Science and Technology;Public University or Faculty","Neutral","",""
"2022/05/12 9:51:03 AM EST","40-44 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Christianity","","A chronic medical condition","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","Yes","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Invited speaker;Other","Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Personal or institutional financial resources;Caregiver status;Another issue (please specify below)","Concern about environmental impact"
"2022/05/12 9:52:06 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Post Doc","IUSSI 2018: Guarujá, Brazil","Attendee;Plenary speaker","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Somewhat agree","Geographic location",""
"2022/05/12 9:52:13 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public Institute of Education, Science and Technology","Strongly disagree","",""
"2022/05/12 9:52:38 AM EST","30-34 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","White","","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD);Non-tenure track faculty","","","Private University or Faculty;4 yr undergraduate serving institution","Neutral","",""
"2022/05/12 9:53:08 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Agnostic","","A psychological disorder","","Professional working proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Invited speaker","Public University or Faculty","Somewhat disagree","Geographic location",""
"2022/05/12 9:55:31 AM EST","40-44 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US;South America","White","","Agnostic","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","Yes","No","Post Doc","","","Government institution","Somewhat agree","Personal or institutional financial resources;Caregiver status",""
"2022/05/12 9:56:57 AM EST","25-29 years old","Cisgender woman","","Bisexual","","Continental US","Continental US","White","","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","Strongly agree","Personal or institutional financial resources;Access to travel awards/funding;Geographic location",""
"2022/05/12 9:57:04 AM EST","35-39 years old","Cisgender man","","Heterosexual","","South America","South America","Latinx","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","No","No","Post Doc","","","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Somewhat agree","Visa issue;Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 9:57:05 AM EST","25-29 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public Institute of Education, Science and Technology","Neutral","",""
"2022/05/12 9:57:35 AM EST","40-44 years old","Cisgender man","","Homosexual (gay/lesbian)","","Europe","Europe","White","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil","Invited speaker","Public University or Faculty","Neutral","Geographic location",""
"2022/05/12 10:00:05 AM EST","40-44 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","White","","An additional affiliation not listed","Atheist","A sensory impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark","Attendee;Poster presenter;Invited speaker","Public University or Faculty","Strongly disagree","",""
"2022/05/12 10:01:09 AM EST","40-44 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Tenure track faculty (late - tenured equivalent)","","","Public University or Faculty","Strongly disagree","",""
"2022/05/12 10:03:10 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","Hispanic;Middle Eastern;White","","Prefer not to respond","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Graduate Student (MS or PhD)","","","Private University or Faculty","Strongly disagree","",""
"2022/05/12 10:03:15 AM EST","21-24 years olf","Cisgender man","","Heterosexual","","Other","Other","East Asian","","Buddhism","","Other","healthy","Elementary proficiency","Elementary proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat disagree","",""
"2022/05/12 10:04:19 AM EST","40-44 years old","Cisgender man","","Heterosexual","","Sub-Saharan Africa","Sub-Saharan Africa","Black","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","Yes","No","Yes","Post Doc","","","Public University or Faculty","Strongly agree","Access to travel awards/funding",""
"2022/05/12 10:10:42 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","White","","I am not religious","Christian and Jewish traditions","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Tenure track faculty (early - assistant equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia","Invited speaker","4 yr undergraduate serving institution","Somewhat disagree","",""
"2022/05/12 10:13:17 AM EST","55-59 years old","Cisgender man","","Homosexual (gay/lesbian)","","Continental US","Continental US","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA;IUSSI 2002: Sapporo, Japan","Attendee;Poster presenter;Invited speaker","Hispanic Serving Institution;Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Somewhat disagree","Personal or institutional financial resources",""
"2022/05/12 10:16:07 AM EST","21-24 years olf","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research and teaching institution (M.S)","Strongly disagree","",""
"2022/05/12 10:17:15 AM EST","25-29 years old","Cisgender woman","","Prefer not to respond","","Europe","Europe","South Asian;Brown;White","","Prefer not to respond","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Neutral","Another issue (please specify below)","cost"
"2022/05/12 10:26:07 AM EST","21-24 years olf","Cisgender woman","","Bisexual","","Continental US","Continental US","White","","I am not religious","","Neurodiverse/neurodivergent;A chronic medical condition","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty;4 yr undergraduate serving institution","I prefer not to answer","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 10:26:45 AM EST","Prefer not to answer","Cisgender woman","","Queer","","Continental US","Continental US","Prefer not to respond","","Buddhism","","A mobility impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Neutral","",""
"2022/05/12 10:37:08 AM EST","55-59 years old","Cisgender man","","Heterosexual","","South America","South America","Hispanic;Latinx;White","","Agnostic","","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","Yes","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Invited speaker;Plenary speaker","Public Institute of Education, Science and Technology;Research and teaching institution (M.S);Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Geographic location;Language",""
"2022/05/12 10:41:56 AM EST","40-44 years old","Non-binary","","Queer","","Continental US","Continental US","White","","Agnostic","Atheist","Prefer not to respond","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","Other","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Invited speaker","Research-intensive institution (M.S. and Ph.D.)","Strongly agree","Access to travel awards/funding;Geographic location",""
"2022/05/12 10:44:29 AM EST","25-29 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Strongly disagree","",""
"2022/05/12 10:48:14 AM EST","30-34 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","Hispanic;Pacific Islander;White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia","Poster presenter;Invited speaker","Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 10:58:33 AM EST","25-29 years old","Prefer not to respond","","Prefer not to respond","","Europe","Europe","A race or ethnicity not listed","","Prefer not to respond","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Prefer not to respond","Graduate Student (MS or PhD)","IUSSI 2018: Guarujá, Brazil","Attendee","Public University or Faculty","Strongly disagree","",""
"2022/05/12 10:59:23 AM EST","Prefer not to answer","Prefer not to respond","","Prefer not to respond","","Continental US","Continental US","Prefer not to respond","","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter;Invited speaker","Public University or Faculty","Strongly disagree","",""
"2022/05/12 11:00:09 AM EST","35-39 years old","Cisgender man","","Heterosexual","","Europe","Europe","A race or ethnicity not listed","Jewish. It's a race, you know! I'm not religious ","I am not religious","","A learning disability","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Non-tenure track faculty","IUSSI 2018: Guarujá, Brazil;IUSSI 2010: Copenhagen, Denmark","Invited speaker","Research-intensive institution (M.S. and Ph.D.)","Strongly disagree","",""
"2022/05/12 11:13:36 AM EST","35-39 years old","Cisgender man","","Heterosexual","","Sub-Saharan Africa","Sub-Saharan Africa","Black","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","Yes","Yes","Yes","Tenure track faculty (early - assistant equivalent)","IUSSI 2018: Guarujá, Brazil","Poster presenter","Public Institute of Education, Science and Technology;Research and teaching institution (M.S);Research Institute (INPA, Butantã Institute, Humboldt, Insibio, Inecol, NSF, NIH, HHMI etc);Research-intensive institution (M.S. and Ph.D.);Historically Black College and University","Strongly agree","Visa issue;Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 11:18:23 AM EST","35-39 years old","Cisgender woman","","Additional identity not listed? (Please click next and share)","Demisexual","Canada","Canada","White","","Agnostic","","A sensory impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter;Invited speaker","Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Another issue (please specify below)","Bullying"
"2022/05/12 11:44:35 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","Hispanic;Latinx","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","Prefer not to respond","No","No","Other","IUSSI 2018: Guarujá, Brazil","Attendee","Private University or Faculty","Somewhat disagree","",""
"2022/05/12 12:00:37 PM EST","21-24 years olf","Cisgender woman","","Heterosexual","","Continental US","Continental US","East Asian;White","","Agnostic","","Neurodiverse/neurodivergent","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","Other","No","Graduate Student (MS or PhD)","","","Private University or Faculty","Somewhat disagree","",""
"2022/05/12 12:02:21 PM EST","18-21 years old","Cisgender man","","Questioning/Unsure","","Continental US","Continental US","White","","I am not religious","","Prefer not to respond","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Undergraduate Student","","","4 yr undergraduate serving institution","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 12:02:29 PM EST","30-34 years old","Cisgender woman","","Questioning/Unsure","","Continental US","Continental US","White","","I am not religious","","Prefer not to respond","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","","","4 yr undergraduate serving institution","Neutral","",""
"2022/05/12 12:07:09 PM EST","45-49 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","","of European ancestry","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Other","IUSSI 2018: Guarujá, Brazil;IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter","Public Institute of Education, Science and Technology;Research and teaching institution (M.S);Research-intensive institution (M.S. and Ph.D.);Public University or Faculty;4 yr undergraduate serving institution","Somewhat agree","Access to travel awards/funding;Geographic location",""
"2022/05/12 12:15:45 PM EST","25-29 years old","Cisgender man","","Homosexual (gay/lesbian)","","Continental US","Continental US","Hispanic;Latinx;White","","I am not religious","","","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","I prefer not to answer","",""
"2022/05/12 12:23:08 PM EST","30-34 years old","Transgender man;Cisgender woman","","","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","Yes","No","Post Doc","","","Public University or Faculty","Somewhat agree","Caregiver status",""
